year,region,property_type,avg_price,volume
2017,East Midlands,T,127000,24571
2017,East of England,D,472000,26838
2017,East of England,F,208000,16002
2017,East of England,S,319000,23845
2017,East of England,T,273000,23483
2017,Greater London,D,955000,9111
2017,Greater London,F,526000,69438
2017,Greater London,S,599000,20033
2017,Greater London,T,608000,33365
2017,North East,D,296000,21595
2017,North East,F,130000,10978
2017,North East,S,164000,30361
2017,North East,T,130000,29150
2017,North West,D,312000,30448
2017,North West,F,137000,18910
2017,North West,S,175000,48790
2017,North West,T,122000,50298
2017,South East,D,553000,37569
2017,South East,F,222000,33199
2017,South East,S,343000,35117
2017,South East,T,289000,37689
2017,South West,D,404000,33723
2017,South West,F,194000,21750
2017,South West,S,259000,26380
2017,South West,T,228000,32220
2017,Wales,D,263000,16541
2017,Wales,F,134000,4738
2017,Wales,S,162000,15384
2017,Wales,T,126000,17372
2017,West Midlands,D,341000,26990
2017,West Midlands,F,140000,12293
2017,West Midlands,S,192000,33620
2017,West Midlands,T,161000,29764
2018,East England,D,299000,7225
2018,East England,F,133000,1352
2018,East England,S,199000,4976
2018,East England,T,177000,3921
2018,East Midlands,D,287000,30091
2018,East Midlands,F,129000,6574
2018,East Midlands,S,165000,32871
2018,East Midlands,T,131000,24733
2018,East of England,D,478000,25505
